Date,Open,High,Low,Close,Adj Close,Volume
2017-07-31,4.0,4.0,3.95,3.97,3.4006550000000004,27729600
2017-08-01,3.86,3.86,3.83,3.86,3.398014,23797200
2017-08-02,3.83,3.85,3.8,3.84,3.380408,26180700
2017-08-03,3.83,3.84,3.81,3.82,3.362802,13330700
2017-08-04,3.82,3.84,3.81,3.83,3.371605,15252000
2017-08-07,3.83,3.83,3.81,3.81,3.353999,10382000
2017-08-08,3.8,3.81,3.75,3.77,3.3187860000000002,28751000
2017-08-10,3.76,3.79,3.75,3.76,3.3099830000000003,30176700
2017-08-11,3.76,3.78,3.74,3.76,3.3099830000000003,20583900
2017-08-14,3.77,3.78,3.75,3.77,3.3187860000000002,20167400
2017-08-15,3.78,3.83,3.78,3.79,3.336392,22098800
2017-08-16,3.79,3.8,3.75,3.79,3.336392,16135900
2017-08-17,3.73,3.76,3.71,3.76,3.3099830000000003,26932700
2017-08-18,3.75,3.78,3.74,3.75,3.3011800000000004,15902200
2017-08-21,3.75,3.76,3.73,3.74,3.2923769999999997,11599200
2017-08-22,3.74,3.76,3.73,3.75,3.3011800000000004,14220600
2017-08-23,3.75,3.78,3.74,3.74,3.2923769999999997,12624700
2017-08-24,3.76,3.77,3.74,3.75,3.3011800000000004,12529500
2017-08-25,3.74,3.76,3.74,3.75,3.3011800000000004,14330800
2017-08-28,3.75,3.77,3.74,3.75,3.3011800000000004,8815600
2017-08-29,3.73,3.73,3.7,3.7,3.257164,24629400
2017-08-30,3.7,3.73,3.7,3.71,3.265967,13715500
2017-08-31,3.73,3.73,3.7,3.7,3.257164,28873600
2017-09-04,3.7,3.7,3.66,3.66,3.221952,25232500
2017-09-05,3.67,3.7,3.66,3.68,3.239558,13146600
2017-09-06,3.7,3.71,3.68,3.69,3.248361,11809500
2017-09-07,3.71,3.71,3.67,3.67,3.230755,12894400
2017-09-08,3.67,3.69,3.66,3.68,3.239558,14103500
2017-09-11,3.69,3.69,3.68,3.69,3.248361,6290900
2017-09-12,3.7,3.71,3.66,3.66,3.221952,19991000
2017-09-13,3.66,3.67,3.65,3.67,3.230755,17241800
2017-09-14,3.67,3.67,3.65,3.67,3.230755,24611900
2017-09-15,3.66,3.68,3.65,3.67,3.230755,19868500
2017-09-18,3.69,3.74,3.68,3.71,3.265967,23897000
2017-09-19,3.73,3.74,3.68,3.68,3.239558,17780800
2017-09-20,3.68,3.71,3.67,3.7,3.257164,9663500
2017-09-21,3.68,3.69,3.66,3.68,3.239558,14324700
2017-09-22,3.67,3.69,3.66,3.68,3.239558,14465800
2017-09-25,3.68,3.69,3.66,3.67,3.230755,11649000
2017-09-26,3.68,3.7,3.67,3.68,3.239558,7911500
2017-09-27,3.68,3.72,3.67,3.71,3.265967,11319500
2017-09-28,3.7,3.71,3.67,3.67,3.230755,17023400
2017-09-29,3.67,3.7,3.66,3.68,3.239558,21178400
2017-10-02,3.69,3.72,3.68,3.7,3.257164,19359900
2017-10-03,3.71,3.71,3.68,3.68,3.239558,16428600
2017-10-04,3.68,3.71,3.68,3.69,3.248361,16931100
2017-10-05,3.7,3.7,3.68,3.68,3.239558,21252400
2017-10-06,3.68,3.7,3.67,3.68,3.239558,34892900
2017-10-09,3.68,3.69,3.67,3.68,3.239558,30314200
2017-10-10,3.69,3.7,3.68,3.68,3.239558,16889221
2017-10-11,3.69,3.7,3.67,3.68,3.239558,18313800
2017-10-12,3.68,3.69,3.67,3.68,3.239558,22180800
2017-10-13,3.67,3.7,3.67,3.7,3.257164,23266000
2017-10-16,3.7,3.73,3.69,3.72,3.27477,19625000
2017-10-17,3.73,3.77,3.73,3.74,3.2923769999999997,22815300
2017-10-19,3.77,3.78,3.74,3.76,3.3099830000000003,25029400
2017-10-20,3.77,3.77,3.75,3.76,3.3099830000000003,12420700
2017-10-23,3.76,3.78,3.73,3.74,3.2923769999999997,15421400
2017-10-24,3.74,3.75,3.73,3.74,3.2923769999999997,16217100
2017-10-25,3.74,3.75,3.72,3.73,3.2835730000000005,12386600
2017-10-26,3.72,3.76,3.72,3.76,3.3099830000000003,13446400
2017-10-27,3.78,3.8,3.77,3.79,3.336392,20666800
2017-10-30,3.8,3.8,3.77,3.78,3.327589,9405800
2017-10-31,3.76,3.78,3.74,3.75,3.3011800000000004,24160400
2017-11-01,3.75,3.77,3.73,3.75,3.3011800000000004,32211233
2017-11-02,3.75,3.77,3.73,3.75,3.3011800000000004,15045000
2017-11-03,3.75,3.77,3.74,3.77,3.3187860000000002,6567800
2017-11-06,3.76,3.79,3.75,3.79,3.336392,18873700
2017-11-07,3.78,3.8,3.77,3.78,3.327589,12883300
2017-11-08,3.76,3.78,3.76,3.78,3.327589,15989000
2017-11-09,3.76,3.77,3.71,3.76,3.3099830000000003,29539500
2017-11-10,3.75,3.79,3.75,3.78,3.327589,25362300
2017-11-13,3.77,3.78,3.73,3.74,3.2923769999999997,23086900
2017-11-14,3.74,3.74,3.68,3.7,3.257164,37060100
2017-11-15,3.7,3.71,3.68,3.69,3.248361,23441000
2017-11-16,3.7,3.7,3.65,3.66,3.221952,40729500
2017-11-17,3.67,3.68,3.66,3.68,3.239558,22853500
2017-11-20,3.68,3.69,3.67,3.67,3.230755,21399200
2017-11-21,3.68,3.69,3.67,3.69,3.248361,22282300
2017-11-22,3.69,3.7,3.68,3.7,3.257164,18102200
2017-11-23,3.7,3.7,3.69,3.7,3.257164,11330100
2017-11-24,3.7,3.7,3.69,3.69,3.248361,13861200
2017-11-27,3.69,3.69,3.66,3.69,3.248361,27557300
2017-11-28,3.68,3.74,3.67,3.73,3.2835730000000005,24656100
2017-11-29,3.74,3.74,3.72,3.74,3.2923769999999997,13427500
2017-11-30,3.72,3.75,3.72,3.73,3.2835730000000005,37893000
2017-12-01,3.73,3.76,3.73,3.74,3.2923769999999997,20297445
2017-12-04,3.74,3.76,3.74,3.75,3.3011800000000004,8354200
2017-12-05,3.76,3.78,3.74,3.75,3.3011800000000004,19304900
2017-12-06,3.78,3.8,3.76,3.78,3.327589,19248600
2017-12-07,3.8,3.8,3.78,3.8,3.345196,13906300
2017-12-08,3.79,3.8,3.78,3.78,3.327589,10539800
2017-12-11,3.78,3.79,3.75,3.77,3.3187860000000002,23213200
2017-12-12,3.78,3.79,3.76,3.79,3.336392,14552600
2017-12-13,3.79,3.79,3.77,3.79,3.336392,15355300
2017-12-14,3.79,3.79,3.77,3.77,3.3187860000000002,18580700
2017-12-15,3.76,3.77,3.75,3.75,3.3011800000000004,18423900
2017-12-18,3.66,3.66,3.62,3.64,3.2635240000000003,30013600
2017-12-19,3.63,3.63,3.6,3.61,3.236627,25624300
2017-12-20,3.6,3.6,3.57,3.58,3.2097290000000003,47026200
2017-12-21,3.57,3.58,3.57,3.57,3.200764,20638600
2017-12-22,3.58,3.6,3.57,3.59,3.218695,16977300
2017-12-26,3.6,3.61,3.59,3.6,3.227661,19787200
2017-12-27,3.6,3.61,3.58,3.59,3.218695,10592900
2017-12-28,3.6,3.61,3.59,3.6,3.227661,9229700
2017-12-29,3.58,3.59,3.56,3.57,3.200764,34059300
